n_student,code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_submitted,is_banked,score,assessment_type,date,weight,sum_click
40,CCC,F,Ireland,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,31.0,0.0,86.0,TMA,32.0,9.0,1135.0
41,BBB,F,South Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,119.0,0.0,100.0,CMA,117.0,1.0,512.0
42,FFF,M,London Region,Lower Than A Level,10-20,0-35,0,120,N,Pass,221.0,0.0,74.0,CMA,222.0,0.0,2112.0
43,BBB,F,London Region,HE Qualification,50-60%,35-55,0,60,N,Pass,189.0,0.0,100.0,CMA,187.0,1.0,257.0
44,DDD,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,90,N,Pass,53.0,0.0,63.0,TMA,53.0,10.0,435.0
45,BBB,F,Ireland,Lower Than A Level,40-50%,35-55,0,325,N,Pass,40.0,0.0,58.0,TMA,47.0,18.0,6663.0
46,BBB,M,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,Y,Pass,17.0,0.0,100.0,TMA,19.0,0.0,763.0
47,DDD,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,90,N,Fail,237.0,0.0,27.0,Exam,261.0,100.0,803.0
48,FFF,M,South East Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,128.0,0.0,80.0,TMA,129.0,25.0,3458.0
49,BBB,F,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,126.0,0.0,80.0,CMA,124.0,1.0,550.0
50,GGG,F,East Midlands Region,A Level or Equivalent,90-100%,35-55,0,30,N,Pass,117.0,0.0,73.0,TMA,117.0,0.0,343.0
51,FFF,M,London Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,22.0,0.0,86.0,TMA,24.0,12.5,2119.0
52,CCC,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,69.0,0.0,92.0,CMA,67.0,7.0,1685.0
53,FFF,M,South Region,HE Qualification,90-100%,35-55,0,150,N,Pass,99.0,0.0,54.0,TMA,96.0,25.0,1210.0
54,FFF,F,Ireland,Lower Than A Level,70-80%,0-35,0,60,N,Pass,132.0,0.0,78.0,CMA,222.0,0.0,7322.0
55,FFF,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,38.0,0.0,86.0,CMA,241.0,0.0,4532.0
56,FFF,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,220,N,Pass,97.0,0.0,87.0,TMA,96.0,25.0,2284.0
57,CCC,M,London Region,A Level or Equivalent,10-20,0-35,0,30,N,Pass,198.0,0.0,81.0,TMA,199.0,25.0,9555.0
58,BBB,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,128.0,0.0,63.0,TMA,131.0,18.0,210.0
59,EEE,M,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,173.0,0.0,96.0,TMA,166.0,28.0,2093.0
60,EEE,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Pass,230.0,0.0,80.0,Exam,128.2432009680228,100.0,2883.0
61,DDD,F,Scotland,Lower Than A Level,0-10%,0-35,0,60,N,Pass,87.0,0.0,94.0,TMA,88.0,17.5,2103.0
62,BBB,F,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,49.0,0.0,80.0,CMA,47.0,1.0,258.0
63,BBB,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,45.0,0.0,73.0,TMA,47.0,18.0,432.0
64,DDD,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,86.0,0.0,67.0,TMA,88.0,17.5,1224.0
65,CCC,F,South Region,A Level or Equivalent,90-100%,35-55,0,630,Y,Pass,234.0,0.0,70.0,Exam,128.2432009680228,100.0,11087.0
66,GGG,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,30,N,Pass,216.0,0.0,100.0,CMA,229.0,0.0,791.0
67,BBB,F,London Region,Lower Than A Level,10-20,35-55,0,60,Y,Fail,18.0,0.0,60.0,TMA,19.0,5.0,713.0
68,GGG,F,East Anglian Region,Lower Than A Level,0-10%,0-35,0,30,N,Pass,143.0,0.0,100.0,CMA,222.0,0.0,717.0
69,BBB,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,11.0,0.0,87.0,TMA,12.0,5.0,334.0
70,DDD,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,149.0,0.0,82.0,TMA,146.0,25.0,538.0
71,FFF,M,Scotland,Lower Than A Level,70-80%,0-35,0,60,N,Fail,57.0,0.0,48.0,TMA,52.0,12.5,539.0
72,BBB,F,South West Region,HE Qualification,70-80%,0-35,0,60,N,Pass,164.0,0.0,60.0,CMA,159.0,1.0,439.0
73,BBB,F,North Western Region,A Level or Equivalent,0-10%,35-55,0,60,N,Pass,53.0,0.0,72.0,TMA,54.0,10.0,314.0
74,DDD,M,North Region,Post Graduate Qualification,30-40%,0-35,0,60,N,Pass,236.0,0.0,96.0,Exam,241.0,100.0,1338.0
75,AAA,F,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,19.0,0.0,78.0,TMA,19.0,10.0,4202.0
76,CCC,M,Yorkshire Region,HE Qualification,70-80%,0-35,0,40,N,Pass,219.0,0.0,21.0,CMA,214.0,8.0,1844.0
77,BBB,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,120,N,Pass,96.0,0.0,73.0,TMA,96.0,18.0,897.0
78,BBB,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,102.0,0.0,100.0,CMA,96.0,1.0,139.0
79,DDD,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,88.0,0.0,96.0,TMA,88.0,17.5,1489.0
80,BBB,F,North Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,126.0,0.0,80.0,CMA,124.0,1.0,243.0
81,DDD,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,16.0,0.0,90.0,TMA,25.0,10.0,2830.0
82,BBB,F,South Region,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass,126.0,0.0,100.0,CMA,124.0,1.0,675.0
83,GGG,F,North Western Region,A Level or Equivalent,10-20,0-35,0,30,N,Pass,217.0,0.0,100.0,CMA,229.0,0.0,255.0
84,FFF,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,140.0,0.0,81.0,TMA,131.0,25.0,1750.0
85,BBB,F,Yorkshire Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,109.0,0.0,71.0,TMA,110.0,20.0,1255.0
86,CCC,M,North Region,Post Graduate Qualification,30-40%,55<=,0,30,N,Pass,192.0,0.0,91.0,TMA,200.0,22.0,2841.0
87,FFF,F,South Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,210.0,0.0,92.0,CMA,222.0,0.0,2382.0
88,CCC,M,North Western Region,HE Qualification,30-40%,0-35,0,90,N,Fail,20.0,0.0,80.0,CMA,18.0,2.0,730.0
89,BBB,F,South West Region,Lower Than A Level,20-30%,0-35,0,120,N,Fail,17.0,0.0,1.0,TMA,19.0,0.0,636.0
90,AAA,F,South Region,HE Qualification,90-100%,0-35,0,60,N,Pass,117.0,0.0,45.0,TMA,117.0,20.0,2983.0
91,FFF,M,South East Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,136.0,0.0,91.0,CMA,222.0,0.0,3999.0
92,FFF,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,19.0,0.0,84.0,TMA,19.0,12.5,2218.0
93,FFF,M,South Region,HE Qualification,20-30%,35-55,0,120,N,Pass,128.0,0.0,95.0,TMA,131.0,25.0,2315.0
94,GGG,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,30,Y,Pass,169.0,0.0,65.0,TMA,173.0,0.0,252.0
95,FFF,M,North Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,206.0,0.0,70.0,CMA,236.0,0.0,2263.0
96,BBB,F,South East Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,27.0,0.0,100.0,TMA,19.0,0.0,2021.0
97,FFF,F,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass,50.0,0.0,90.0,TMA,52.0,12.5,3464.0
98,BBB,F,West Midlands Region,Lower Than A Level,30-40%,0-35,2,60,N,Pass,207.0,0.0,72.0,TMA,208.0,18.0,167.0
99,CCC,M,South Region,A Level or Equivalent,60-70%,0-35,1,60,Y,Fail,128.0,0.0,83.0,TMA,129.0,25.0,1222.0
100,FFF,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,228.0,0.0,88.0,CMA,236.0,0.0,3259.0
101,BBB,F,East Midlands Region,Lower Than A Level,60-70%,35-55,1,180,N,Pass,18.0,0.0,57.0,TMA,19.0,5.0,1040.0
102,BBB,F,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,108.0,0.0,76.0,TMA,110.0,20.0,1483.0
103,FFF,M,Scotland,HE Qualification,10-20,35-55,0,60,N,Pass,92.0,0.0,82.0,TMA,96.0,25.0,4343.0
104,BBB,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,18.0,0.0,87.0,TMA,19.0,5.0,1463.0
105,CCC,M,South East Region,Lower Than A Level,80-90%,0-35,0,240,N,Fail,40.0,0.0,65.0,TMA,41.0,10.0,876.0
106,EEE,M,South Region,Lower Than A Level,70-80%,35-55,0,30,N,Pass,122.0,0.0,100.0,TMA,124.0,28.0,10832.0
107,BBB,F,Scotland,HE Qualification,10-20,0-35,0,60,N,Pass,56.0,0.0,80.0,CMA,54.0,1.0,507.0
108,BBB,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,0,120,N,Fail,95.0,0.0,80.0,CMA,89.0,1.0,443.0
109,BBB,F,South West Region,A Level or Equivalent,30-40%,35-55,2,120,N,Pass,60.0,0.0,100.0,CMA,54.0,1.0,2481.0
110,FFF,M,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,217.0,0.0,79.0,CMA,222.0,0.0,1533.0
111,CCC,M,East Anglian Region,HE Qualification,80-90%,0-35,0,60,N,Fail,67.0,0.0,89.0,TMA,68.0,28.0,3111.0
112,DDD,M,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Pass,24.0,0.0,84.0,TMA,25.0,10.0,1556.0
113,FFF,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,1,120,N,Pass,195.0,0.0,82.0,CMA,236.0,0.0,766.0
114,BBB,F,Scotland,Lower Than A Level,70-80%,35-55,0,60,N,Pass,9.0,0.0,78.0,TMA,12.0,5.0,1325.0
115,DDD,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,209.0,0.0,37.0,CMA,206.0,6.0,1978.0
116,FFF,M,East Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,122.0,0.0,76.0,CMA,222.0,0.0,2590.0
117,BBB,F,London Region,Lower Than A Level,60-70%,0-35,0,90,N,Fail,125.0,0.0,49.0,TMA,124.0,18.0,133.0
118,BBB,F,South East Region,HE Qualification,70-80%,0-35,0,120,N,Pass,102.0,0.0,100.0,CMA,96.0,1.0,399.0
119,EEE,M,South East Region,Lower Than A Level,90-100%,0-35,0,120,N,Pass,147.0,0.0,94.0,CMA,144.0,8.0,4941.0
120,FFF,M,Ireland,HE Qualification,30-40%,35-55,0,60,N,Pass,126.0,0.0,93.0,TMA,131.0,25.0,7165.0
121,FFF,M,East Anglian Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,172.0,0.0,84.0,TMA,173.0,25.0,4399.0
122,FFF,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,91.0,0.0,69.0,TMA,94.0,25.0,5873.0
123,DDD,M,Ireland,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,110.0,0.0,74.0,TMA,111.0,25.0,202.0
124,FFF,M,North Region,A Level or Equivalent,30-40%,35-55,0,90,Y,Pass,174.0,0.0,86.0,CMA,236.0,0.0,2142.0
125,EEE,M,Ireland,Lower Than A Level,80-90%,0-35,0,90,N,Pass,125.0,0.0,93.0,TMA,131.0,28.0,2947.0
126,DDD,M,South East Region,Lower Than A Level,90-100%,0-35,0,60,Y,Pass,147.0,0.0,73.0,CMA,144.0,8.0,1497.0
127,FFF,M,Scotland,HE Qualification,50-60%,35-55,0,60,Y,Pass,131.0,0.0,72.0,TMA,131.0,25.0,5665.0
128,FFF,M,North Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass,173.0,0.0,97.0,CMA,222.0,0.0,2948.0
129,FFF,M,Wales,Lower Than A Level,60-70%,0-35,0,90,N,Pass,186.0,0.0,70.0,CMA,236.0,0.0,2480.0
130,FFF,M,West Midlands Region,Lower Than A Level,50-60%,35-55,0,120,N,Pass,213.0,0.0,88.0,CMA,222.0,0.0,3320.0
131,BBB,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Pass,168.0,0.0,100.0,CMA,166.0,1.0,606.0
132,GGG,F,South Region,Lower Than A Level,70-80%,0-35,0,90,N,Pass,200.0,0.0,100.0,CMA,229.0,0.0,806.0
133,CCC,F,Yorkshire Region,Lower Than A Level,10-20,0-35,0,120,N,Pass,20.0,0.0,70.0,CMA,18.0,2.0,965.0
134,FFF,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,49.0,0.0,82.0,CMA,222.0,0.0,4468.0
135,EEE,M,London Region,A Level or Equivalent,40-50%,35-55,0,30,Y,Pass,116.0,0.0,71.0,TMA,117.0,28.0,3829.0
136,EEE,F,London Region,A Level or Equivalent,10-20,0-35,0,210,N,Fail,32.0,0.0,60.0,TMA,32.0,9.0,767.0
137,DDD,M,South Region,A Level or Equivalent,90-100%,35-55,2,120,N,Fail,60.0,0.0,42.0,TMA,53.0,12.5,162.0
138,FFF,M,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,Y,Pass,10.0,0.0,92.0,CMA,227.0,0.0,5648.0
139,EEE,M,Wales,Lower Than A Level,80-90%,0-35,0,165,N,Fail,29.0,0.0,66.0,TMA,33.0,16.0,344.0
140,FFF,M,South East Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,192.0,0.0,92.0,TMA,199.0,25.0,2859.0
141,CCC,M,North Region,Lower Than A Level,30-40%,0-35,0,30,N,Fail,21.0,0.0,67.0,CMA,18.0,2.0,4857.0
142,DDD,F,Wales,HE Qualification,90-100%,0-35,0,60,N,Fail,22.0,0.0,31.0,TMA,25.0,7.5,330.0
143,DDD,F,North Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,110.0,0.0,64.0,TMA,111.0,25.0,2061.0
144,FFF,M,Scotland,Lower Than A Level,80-90%,0-35,0,60,N,Pass,52.0,0.0,88.0,CMA,222.0,0.0,5283.0
145,FFF,F,Scotland,Lower Than A Level,0-10%,35-55,0,60,Y,Fail,177.0,0.0,70.0,CMA,241.0,0.0,3688.0
146,BBB,M,Ireland,Lower Than A Level,0-10%,0-35,0,60,Y,Pass,54.0,0.0,68.0,TMA,54.0,10.0,9.0
147,EEE,M,East Anglian Region,HE Qualification,80-90%,0-35,1,60,N,Pass,150.0,0.0,83.0,TMA,151.0,22.0,2309.0
148,CCC,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,158.0,0.0,71.0,TMA,158.0,22.0,2753.0
149,GGG,F,South Region,Lower Than A Level,40-50%,0-35,0,30,N,Pass,151.0,0.0,87.0,TMA,166.0,0.0,1500.0
150,GGG,F,South East Region,A Level or Equivalent,40-50%,35-55,0,30,N,Pass,137.0,0.0,100.0,CMA,229.0,0.0,1083.0
151,EEE,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,147.0,0.0,83.0,CMA,144.0,8.0,5376.0
152,AAA,M,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass,18.0,0.0,66.0,TMA,19.0,10.0,2094.0
153,DDD,M,North Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,62.0,0.0,80.0,TMA,62.0,10.0,333.0
154,BBB,M,North Region,HE Qualification,80-90%,35-55,0,120,N,Pass,164.0,0.0,75.0,TMA,166.0,18.0,766.0
155,GGG,F,South West Region,A Level or Equivalent,60-70%,0-35,0,30,N,Pass,100.0,0.0,100.0,CMA,229.0,0.0,725.0
156,GGG,F,North Western Region,A Level or Equivalent,80-90%,35-55,0,30,N,Pass,163.0,0.0,68.0,TMA,166.0,0.0,685.0
157,FFF,M,East Midlands Region,Lower Than A Level,70-80%,0-35,1,60,N,Fail,114.50149286847804,0.0,75.40245881057695,TMA,128.2432009680228,13.38370096324987,2381.4103594562976
158,BBB,F,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass,145.0,0.0,86.0,TMA,131.0,18.0,601.0
159,BBB,F,South East Region,HE Qualification,70-80%,35-55,0,120,N,Pass,100.0,0.0,84.0,TMA,96.0,18.0,628.0
160,DDD,M,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,53.0,0.0,70.0,TMA,53.0,10.0,2156.0
161,FFF,M,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,10.0,0.0,100.0,CMA,227.0,0.0,14890.0
162,FFF,M,South West Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,35.0,0.0,99.0,CMA,241.0,0.0,3707.0
163,BBB,F,South West Region,HE Qualification,0-10%,0-35,0,60,N,Fail,147.0,0.0,20.0,TMA,152.0,35.0,171.0
164,FFF,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,130.0,0.0,92.0,TMA,131.0,25.0,5008.0
165,BBB,F,London Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Pass,133.0,0.0,80.0,CMA,131.0,1.0,106.0
166,FFF,M,Wales,Lower Than A Level,50-60%,0-35,0,60,N,Fail,134.0,0.0,76.0,TMA,136.0,25.0,1596.0
167,FFF,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail,17.0,0.0,76.0,TMA,19.0,12.5,1560.0
168,FFF,M,East Midlands Region,A Level or Equivalent,10-20,35-55,0,90,N,Pass,173.0,0.0,93.0,TMA,173.0,25.0,5186.0
169,DDD,M,South West Region,HE Qualification,20-30%,0-35,3,60,N,Pass,54.0,0.0,89.0,CMA,51.0,3.0,1045.0
170,FFF,M,North Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,199.0,0.0,62.0,CMA,236.0,0.0,1481.0
171,CCC,M,London Region,HE Qualification,30-40%,55<=,0,30,N,Fail,31.0,0.0,90.0,TMA,32.0,9.0,267.0
172,FFF,M,Wales,A Level or Equivalent,30-40%,0-35,1,60,N,Pass,40.0,0.0,90.0,CMA,222.0,0.0,2910.0
173,BBB,F,South Region,Lower Than A Level,80-90%,0-35,0,60,N,Fail,210.0,0.0,100.0,CMA,208.0,1.0,92.0
174,FFF,M,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,158.0,0.0,66.0,CMA,236.0,0.0,2314.0
175,FFF,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,120,N,Pass,130.0,0.0,87.0,TMA,131.0,25.0,4720.0
176,BBB,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,89.0,0.0,60.0,TMA,89.0,18.0,421.0
177,BBB,F,South Region,Lower Than A Level,20-30%,35-55,1,120,N,Pass,130.0,0.0,66.0,TMA,124.0,18.0,458.0
178,FFF,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,180,N,Pass,159.0,0.0,93.0,CMA,236.0,0.0,1271.0
179,FFF,F,Yorkshire Region,Lower Than A Level,30-40%,35-55,1,120,Y,Pass,108.0,0.0,83.0,TMA,94.0,25.0,3516.0
180,DDD,M,Ireland,HE Qualification,30-40%,35-55,1,120,N,Fail,117.0,0.0,78.0,CMA,114.0,4.0,5430.0
181,DDD,M,South West Region,HE Qualification,60-70%,0-35,0,90,N,Pass,146.0,0.0,89.0,TMA,146.0,25.0,964.0
182,CCC,M,North Western Region,Lower Than A Level,10-20,0-35,0,60,Y,Fail,95.0,0.0,66.0,TMA,96.0,25.0,2277.0
183,DDD,F,East Anglian Region,Lower Than A Level,80-90%,0-35,4,60,N,Pass,152.0,0.0,89.0,CMA,149.0,4.0,373.0
184,FFF,F,South Region,HE Qualification,70-80%,0-35,0,60,N,Pass,94.0,0.0,66.0,TMA,89.0,25.0,5360.0
185,CCC,M,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,102.0,0.0,66.0,TMA,102.0,22.0,2062.0
186,GGG,F,North Region,Lower Than A Level,10-20,0-35,0,30,N,Fail,114.50149286847804,0.0,75.40245881057695,TMA,128.2432009680228,13.38370096324987,16.0
187,BBB,F,South East Region,A Level or Equivalent,40-50%,35-55,1,60,N,Pass,110.0,0.0,68.0,TMA,110.0,20.0,5155.0
188,CCC,M,Wales,HE Qualification,0-10%,0-35,0,120,N,Pass,139.0,0.0,85.0,CMA,137.0,8.0,1316.0
189,CCC,M,London Region,HE Qualification,30-40%,0-35,0,120,N,Pass,242.0,0.0,89.0,CMA,241.0,0.0,4259.0
190,FFF,M,South East Region,A Level or Equivalent,70-80%,0-35,0,90,Y,Pass,223.0,0.0,95.0,CMA,241.0,0.0,6375.0
191,CCC,M,South West Region,A Level or Equivalent,10-20,0-35,0,120,N,Pass,21.0,0.0,100.0,CMA,18.0,2.0,1430.0
192,DDD,F,North Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,109.0,0.0,74.0,TMA,111.0,25.0,2475.0
193,BBB,F,South West Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail,15.0,0.0,78.0,TMA,19.0,5.0,322.0
194,FFF,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail,52.0,0.0,80.0,TMA,47.0,12.5,2747.0
195,EEE,M,Scotland,Post Graduate Qualification,50-60%,0-35,0,30,N,Pass,69.0,0.0,89.0,CMA,67.0,7.0,1457.0
