n_student,code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_submitted,is_banked,score,assessment_type,date,weight,sum_click
34,EEE,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,66.0,0.0,78.0,TMA,68.0,28.0,1240.0
35,GGG,F,South West Region,Lower Than A Level,50-60%,0-35,0,30,Y,Fail,52.0,0.0,80.0,TMA,61.0,0.0,304.0
36,CCC,F,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Fail,245.0,0.0,24.0,Exam,128.2432009680228,100.0,6378.0
37,DDD,M,West Midlands Region,Lower Than A Level,0-10%,0-35,0,90,N,Fail,226.0,0.0,80.0,CMA,227.0,0.0,2817.0
38,EEE,M,London Region,HE Qualification,80-90%,0-35,0,60,N,Fail,26.0,0.0,48.0,TMA,32.0,9.0,811.0
39,CCC,M,South Region,A Level or Equivalent,20-30%,35-55,0,120,N,Fail,32.0,0.0,76.0,TMA,32.0,9.0,3015.0
40,BBB,F,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,15.0,0.0,100.0,TMA,19.0,0.0,61.0
41,FFF,M,Ireland,A Level or Equivalent,0-10%,0-35,2,60,N,Fail,87.0,0.0,56.0,TMA,87.0,25.0,846.0
42,CCC,M,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,25.0,0.0,57.0,TMA,25.0,10.0,764.0
43,BBB,F,Ireland,A Level or Equivalent,30-40%,0-35,3,60,N,Fail,119.0,0.0,100.0,CMA,117.0,1.0,191.0
44,CCC,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail,69.0,0.0,100.0,CMA,67.0,7.0,1639.0
45,DDD,M,South Region,Lower Than A Level,40-50%,35-55,0,150,N,Fail,17.0,0.0,90.0,TMA,20.0,5.0,629.0
46,DDD,M,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,Fail,207.0,0.0,50.0,TMA,207.0,20.0,446.0
47,FFF,M,North Western Region,Lower Than A Level,0-10%,0-35,0,60,Y,Fail,97.0,0.0,75.40245881057695,TMA,87.0,25.0,357.0
48,BBB,F,South Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,189.0,0.0,100.0,CMA,187.0,1.0,1977.0
49,GGG,F,North Western Region,Lower Than A Level,50-60%,0-35,0,30,N,Fail,135.0,0.0,65.0,TMA,117.0,0.0,259.0
50,FFF,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Fail,222.0,0.0,66.0,CMA,222.0,0.0,1351.0
51,BBB,F,South West Region,Lower Than A Level,50-60%,0-35,1,180,Y,Fail,-1.0,1.0,74.0,TMA,96.0,18.0,695.0
52,DDD,M,Ireland,Lower Than A Level,30-40%,35-55,0,60,N,Fail,209.0,0.0,80.0,CMA,206.0,6.0,1776.0
53,DDD,F,East Anglian Region,HE Qualification,40-50%,0-35,1,145,N,Fail,25.0,0.0,80.0,CMA,23.0,2.0,983.0
54,BBB,F,South West Region,A Level or Equivalent,0-10%,0-35,1,60,N,Fail,10.0,0.0,1.0,TMA,19.0,0.0,892.0
55,BBB,F,Scotland,Lower Than A Level,40-50%,0-35,2,60,Y,Fail,21.0,0.0,50.0,TMA,19.0,5.0,890.0
56,CCC,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,30,N,Fail,109.0,0.0,23.0,TMA,109.0,22.0,4070.0
57,DDD,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,90,N,Fail,173.0,0.0,78.0,CMA,170.0,3.0,404.0
58,FFF,M,Ireland,HE Qualification,30-40%,0-35,1,60,N,Fail,106.0,0.0,85.0,TMA,96.0,25.0,2159.0
59,BBB,F,East Anglian Region,HE Qualification,30-40%,35-55,0,60,N,Fail,189.0,0.0,100.0,CMA,187.0,1.0,423.0
60,FFF,M,London Region,Lower Than A Level,0-10%,35-55,0,120,N,Fail,30.0,0.0,98.0,CMA,222.0,0.0,3692.0
61,BBB,F,Wales,Lower Than A Level,50-60%,0-35,0,60,N,Fail,9.0,0.0,80.0,TMA,19.0,5.0,899.0
62,FFF,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,Y,Fail,55.0,0.0,75.0,CMA,236.0,0.0,6208.0
63,CCC,M,West Midlands Region,A Level or Equivalent,80-90%,0-35,0,30,N,Fail,21.0,0.0,56.0,CMA,18.0,2.0,880.0
64,DDD,F,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,81.0,0.0,92.0,TMA,81.0,12.5,2213.0
65,BBB,F,North Western Region,A Level or Equivalent,20-30%,35-55,0,120,N,Fail,96.0,0.0,87.0,TMA,96.0,18.0,2980.0
66,FFF,M,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,231.0,0.0,76.0,CMA,236.0,0.0,1976.0
67,BBB,F,South East Region,Lower Than A Level,0-10%,0-35,0,120,N,Fail,50.0,0.0,63.0,TMA,47.0,18.0,101.0
68,FFF,M,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,17.0,0.0,68.0,TMA,19.0,12.5,732.0
69,CCC,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,129.0,0.0,40.0,TMA,129.0,25.0,6644.0
70,BBB,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,46.0,0.0,54.0,TMA,47.0,18.0,29.0
71,EEE,M,Scotland,A Level or Equivalent,0-10%,35-55,0,30,Y,Fail,68.0,0.0,89.0,TMA,68.0,28.0,671.0
72,EEE,M,South Region,A Level or Equivalent,90-100%,35-55,0,60,Y,Fail,91.0,0.0,64.0,TMA,89.0,25.0,2957.0
73,BBB,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,120,N,Fail,208.0,0.0,49.0,TMA,201.0,35.0,1223.0
74,DDD,F,London Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,158.0,0.0,50.0,TMA,158.0,20.0,1662.0
75,DDD,M,Scotland,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,117.0,0.0,83.0,CMA,114.0,4.0,549.0
76,DDD,F,Ireland,Lower Than A Level,30-40%,35-55,0,60,N,Fail,197.0,0.0,56.0,TMA,195.0,25.0,2635.0
77,FFF,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,180,N,Fail,67.0,0.0,78.0,CMA,241.0,0.0,1849.0
78,GGG,M,West Midlands Region,No Formal quals,0-10%,0-35,0,30,N,Fail,224.0,0.0,100.0,CMA,229.0,0.0,388.0
79,CCC,M,South East Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,20.0,0.0,40.0,CMA,18.0,2.0,971.0
80,BBB,F,South West Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,47.0,0.0,42.0,TMA,47.0,18.0,924.0
81,DDD,M,London Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,24.0,0.0,66.0,TMA,25.0,7.5,2033.0
82,FFF,F,North Western Region,A Level or Equivalent,10-20,0-35,1,60,N,Fail,45.0,0.0,76.0,TMA,47.0,12.5,2054.0
83,DDD,F,Scotland,Lower Than A Level,50-60%,35-55,0,120,N,Fail,54.0,0.0,64.0,CMA,51.0,3.0,1102.0
84,CCC,M,West Midlands Region,A Level or Equivalent,90-100%,0-35,0,30,N,Fail,39.0,0.0,74.0,TMA,32.0,9.0,572.0
85,BBB,F,North Western Region,Lower Than A Level,10-20,35-55,0,60,N,Fail,46.0,0.0,62.0,TMA,47.0,18.0,514.0
86,EEE,M,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,39.0,0.0,64.0,TMA,33.0,16.0,469.0
87,FFF,M,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,18.0,0.0,94.0,TMA,19.0,12.5,1055.0
88,DDD,F,North Western Region,A Level or Equivalent,0-10%,35-55,0,120,N,Fail,81.0,0.0,58.0,CMA,79.0,3.0,295.0
89,FFF,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Fail,226.0,0.0,80.0,CMA,227.0,0.0,2851.0
90,BBB,F,Wales,Lower Than A Level,60-70%,0-35,0,60,Y,Fail,53.0,0.0,64.0,TMA,54.0,10.0,67.0
91,DDD,M,South Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail,52.0,0.0,71.0,TMA,53.0,10.0,2039.0
92,DDD,M,Ireland,HE Qualification,30-40%,35-55,0,60,N,Fail,200.0,0.0,32.0,TMA,200.0,15.0,1178.0
93,FFF,M,South West Region,HE Qualification,50-60%,35-55,0,60,N,Fail,181.0,0.0,96.0,CMA,222.0,0.0,2695.0
94,DDD,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,2,120,N,Fail,25.0,0.0,58.0,TMA,25.0,7.5,721.0
95,CCC,F,Scotland,HE Qualification,40-50%,35-55,0,30,N,Fail,69.0,0.0,85.0,CMA,67.0,7.0,1094.0
96,DDD,M,Scotland,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,54.0,0.0,83.0,CMA,51.0,3.0,278.0
97,FFF,M,North Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,235.0,0.0,63.0,CMA,236.0,0.0,1884.0
98,DDD,F,South West Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,74.0,0.0,53.0,TMA,74.0,17.5,1511.0
99,BBB,F,East Anglian Region,HE Qualification,30-40%,35-55,0,60,N,Fail,18.0,0.0,69.0,TMA,19.0,5.0,423.0
100,CCC,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,139.0,0.0,79.0,CMA,137.0,8.0,1570.0
101,EEE,M,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,20.0,0.0,30.0,CMA,18.0,2.0,1351.0
102,BBB,F,Scotland,HE Qualification,0-10%,35-55,0,60,N,Fail,153.0,0.0,45.0,TMA,152.0,35.0,374.0
103,FFF,M,South West Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,201.0,0.0,58.0,TMA,199.0,25.0,4759.0
104,FFF,M,London Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,47.0,0.0,74.0,TMA,47.0,12.5,604.0
105,BBB,F,London Region,A Level or Equivalent,40-50%,0-35,0,180,N,Fail,18.0,0.0,78.0,TMA,19.0,5.0,1095.0
106,CCC,M,South Region,A Level or Equivalent,60-70%,0-35,1,60,Y,Fail,21.0,0.0,56.0,CMA,18.0,2.0,1222.0
107,BBB,F,South West Region,A Level or Equivalent,60-70%,0-35,0,90,N,Fail,49.0,0.0,100.0,CMA,47.0,1.0,246.0
108,FFF,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,24.0,0.0,88.0,TMA,24.0,12.5,1144.0
109,BBB,F,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,95.0,0.0,100.0,CMA,89.0,1.0,384.0
110,BBB,F,North Western Region,Lower Than A Level,0-10%,0-35,0,150,N,Fail,161.0,0.0,65.0,TMA,166.0,18.0,418.0
111,BBB,F,South West Region,A Level or Equivalent,50-60%,0-35,0,90,N,Fail,119.0,0.0,80.0,CMA,117.0,1.0,718.0
112,FFF,M,East Midlands Region,Lower Than A Level,0-10%,0-35,0,120,N,Fail,16.0,0.0,84.0,TMA,24.0,12.5,2791.0
113,GGG,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,30,N,Fail,207.0,0.0,60.0,CMA,229.0,0.0,831.0
114,CCC,M,London Region,A Level or Equivalent,80-90%,0-35,0,30,N,Fail,219.0,0.0,73.0,CMA,214.0,8.0,3634.0
115,DDD,M,North Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,52.0,0.0,72.0,TMA,53.0,12.5,621.0
116,BBB,F,Ireland,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,18.0,0.0,100.0,TMA,19.0,0.0,199.0
117,BBB,F,Wales,Lower Than A Level,30-40%,0-35,1,120,N,Fail,114.50149286847804,0.0,75.40245881057695,TMA,128.2432009680228,13.38370096324987,10.0
118,DDD,M,South West Region,Lower Than A Level,30-40%,0-35,1,60,Y,Fail,59.0,0.0,55.0,TMA,53.0,10.0,1355.0
119,FFF,F,Wales,A Level or Equivalent,0-10%,0-35,0,90,N,Fail,238.0,0.0,47.0,CMA,236.0,0.0,2326.0
120,BBB,F,London Region,Lower Than A Level,30-40%,0-35,0,90,N,Fail,36.0,0.0,60.0,TMA,40.0,18.0,745.0
121,FFF,M,London Region,A Level or Equivalent,20-30%,35-55,0,360,N,Fail,234.0,0.0,78.0,CMA,236.0,0.0,3797.0
122,CCC,M,South Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,20.0,0.0,20.0,CMA,18.0,2.0,2682.0
123,CCC,M,Scotland,Lower Than A Level,80-90%,0-35,0,60,N,Fail,101.0,0.0,34.0,TMA,102.0,22.0,1511.0
124,CCC,M,Scotland,HE Qualification,40-50%,0-35,0,60,N,Fail,32.0,0.0,90.0,TMA,32.0,9.0,4390.0
125,FFF,M,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,90,N,Fail,26.0,0.0,90.0,TMA,24.0,12.5,581.0
126,GGG,F,South East Region,Lower Than A Level,60-70%,0-35,1,60,N,Fail,61.0,0.0,45.0,TMA,61.0,0.0,60.0
127,FFF,F,London Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail,23.0,0.0,64.0,TMA,24.0,12.5,1115.0
128,BBB,F,South West Region,Lower Than A Level,50-60%,0-35,1,180,N,Fail,40.0,0.0,63.0,TMA,40.0,18.0,54.0
129,CCC,F,West Midlands Region,HE Qualification,20-30%,35-55,0,30,N,Fail,69.0,0.0,98.0,CMA,67.0,7.0,1156.0
130,BBB,F,South West Region,A Level or Equivalent,40-50%,0-35,0,240,N,Fail,126.0,0.0,80.0,CMA,124.0,1.0,188.0
131,FFF,F,London Region,A Level or Equivalent,50-60%,0-35,0,90,N,Fail,222.0,0.0,64.0,CMA,222.0,0.0,5293.0
132,BBB,F,East Anglian Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,117.0,0.0,60.0,TMA,117.0,18.0,673.0
133,EEE,M,Wales,Lower Than A Level,40-50%,0-35,0,120,N,Fail,69.0,0.0,94.0,TMA,68.0,28.0,1620.0
134,CCC,M,Scotland,HE Qualification,40-50%,0-35,0,60,N,Fail,33.0,0.0,83.0,TMA,33.0,16.0,546.0
135,BBB,F,London Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,168.0,0.0,60.0,CMA,166.0,1.0,476.0
136,FFF,M,North Region,Lower Than A Level,10-20,0-35,2,60,Y,Fail,160.0,0.0,69.0,CMA,227.0,0.0,2671.0
137,BBB,F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,N,Fail,48.0,0.0,60.0,TMA,47.0,18.0,435.0
138,FFF,M,Ireland,HE Qualification,50-60%,0-35,0,60,N,Fail,223.0,0.0,67.0,CMA,222.0,0.0,1705.0
139,FFF,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Fail,40.0,0.0,82.0,TMA,47.0,12.5,170.0
140,FFF,M,London Region,Lower Than A Level,10-20,55<=,0,90,N,Fail,24.0,0.0,92.0,TMA,24.0,12.5,701.0
141,BBB,M,Wales,A Level or Equivalent,20-30%,0-35,0,120,Y,Fail,180.0,0.0,86.0,TMA,159.0,18.0,648.0
142,FFF,M,Yorkshire Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,224.0,0.0,63.0,CMA,222.0,0.0,3142.0
143,DDD,M,Ireland,Lower Than A Level,30-40%,35-55,0,60,N,Fail,20.0,0.0,55.0,TMA,20.0,5.0,703.0
144,BBB,F,Wales,Lower Than A Level,0-10%,0-35,1,120,Y,Fail,126.0,0.0,80.0,CMA,124.0,1.0,550.0
145,DDD,F,London Region,Lower Than A Level,10-20,0-35,3,90,N,Fail,74.0,0.0,85.0,TMA,74.0,17.5,793.0
146,FFF,M,West Midlands Region,No Formal quals,0-10%,0-35,0,60,N,Fail,59.0,0.0,57.0,CMA,236.0,0.0,3602.0
147,EEE,M,East Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Fail,131.0,0.0,47.0,TMA,131.0,28.0,873.0
148,FFF,M,Ireland,Lower Than A Level,90-100%,35-55,0,120,N,Fail,93.0,0.0,25.0,TMA,94.0,25.0,5223.0
149,FFF,M,Wales,HE Qualification,10-20,0-35,0,150,N,Fail,214.0,0.0,75.0,CMA,241.0,0.0,2677.0
150,BBB,F,Scotland,Lower Than A Level,20-30%,0-35,0,60,N,Fail,217.0,0.0,66.0,TMA,208.0,18.0,353.0
151,FFF,M,Scotland,HE Qualification,0-10%,0-35,0,120,N,Fail,95.0,0.0,27.0,TMA,96.0,25.0,1953.0
152,FFF,F,North Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,173.0,0.0,51.0,TMA,173.0,25.0,3933.0
153,DDD,F,London Region,HE Qualification,20-30%,35-55,2,60,N,Fail,-1.0,1.0,97.0,CMA,51.0,3.0,447.0
154,DDD,M,South Region,Lower Than A Level,10-20,35-55,0,60,N,Fail,23.0,0.0,74.0,TMA,25.0,10.0,515.0
155,DDD,M,South East Region,Lower Than A Level,50-60%,35-55,0,60,N,Fail,242.0,0.0,38.0,Exam,128.2432009680228,100.0,990.0
156,DDD,M,North Western Region,A Level or Equivalent,50-60%,0-35,1,120,N,Fail,123.0,0.0,45.0,TMA,123.0,20.0,358.0
157,BBB,F,South West Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,131.0,0.0,62.0,TMA,131.0,18.0,924.0
158,FFF,F,North Region,A Level or Equivalent,20-30%,0-35,2,120,N,Fail,102.0,0.0,83.0,TMA,96.0,25.0,716.0
159,EEE,M,South Region,Lower Than A Level,50-60%,35-55,0,90,N,Fail,159.0,0.0,53.0,TMA,159.0,28.0,2245.0
160,FFF,M,Wales,A Level or Equivalent,30-40%,0-35,1,120,N,Fail,24.0,0.0,62.0,TMA,24.0,12.5,496.0
161,FFF,M,Scotland,HE Qualification,60-70%,0-35,1,90,N,Fail,-1.0,1.0,64.0,TMA,47.0,12.5,373.0
162,FFF,M,South Region,A Level or Equivalent,20-30%,0-35,1,90,N,Fail,182.0,0.0,80.0,CMA,222.0,0.0,4818.0
163,DDD,F,North Western Region,A Level or Equivalent,50-60%,0-35,0,120,N,Fail,237.0,0.0,60.0,CMA,241.0,0.0,2733.0
164,DDD,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,32.0,0.0,85.0,TMA,25.0,7.5,1154.0
165,GGG,F,London Region,Lower Than A Level,30-40%,35-55,0,30,N,Fail,207.0,0.0,60.0,CMA,222.0,0.0,640.0
166,BBB,F,North Western Region,Lower Than A Level,0-10%,0-35,0,150,N,Fail,102.0,0.0,100.0,CMA,96.0,1.0,418.0
167,CCC,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,1,30,Y,Fail,101.0,0.0,87.0,TMA,88.0,17.5,834.0
168,FFF,M,East Midlands Region,Lower Than A Level,40-50%,0-35,0,60,Y,Fail,130.0,0.0,81.0,TMA,131.0,25.0,2603.0
169,CCC,F,Scotland,HE Qualification,90-100%,0-35,0,60,Y,Fail,200.0,0.0,74.0,TMA,200.0,22.0,3004.0
170,DDD,M,Scotland,HE Qualification,90-100%,0-35,1,120,N,Fail,24.0,0.0,20.0,TMA,25.0,7.5,261.0
171,FFF,M,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,44.0,0.0,60.0,TMA,47.0,12.5,849.0
172,CCC,M,South East Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,147.0,0.0,72.0,CMA,144.0,8.0,4072.0
173,CCC,M,North Western Region,Lower Than A Level,10-20,0-35,0,80,N,Fail,31.0,0.0,70.0,TMA,32.0,9.0,3753.0
174,GGG,F,North Western Region,A Level or Equivalent,20-30%,0-35,0,30,N,Fail,61.0,0.0,50.0,TMA,61.0,0.0,900.0
175,FFF,M,Wales,A Level or Equivalent,50-60%,0-35,0,120,N,Fail,14.0,0.0,70.0,CMA,227.0,0.0,540.0
176,FFF,M,Scotland,A Level or Equivalent,90-100%,0-35,0,60,Y,Fail,27.0,0.0,92.0,CMA,227.0,0.0,1110.0
177,CCC,M,Scotland,HE Qualification,70-80%,0-35,0,120,N,Fail,53.0,0.0,54.0,TMA,53.0,12.5,1897.0
178,GGG,F,South Region,Lower Than A Level,40-50%,0-35,0,30,Y,Fail,207.0,0.0,20.0,CMA,222.0,0.0,295.0
179,GGG,F,East Anglian Region,Lower Than A Level,20-30%,35-55,0,30,N,Fail,116.0,0.0,75.0,TMA,117.0,0.0,273.0
180,FFF,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,228.0,0.0,49.0,CMA,227.0,0.0,1192.0
181,DDD,M,North Region,Lower Than A Level,30-40%,0-35,1,120,N,Fail,69.0,0.0,15.0,CMA,67.0,7.0,1544.0
182,CCC,F,London Region,A Level or Equivalent,10-20,0-35,0,210,N,Fail,68.0,0.0,64.0,TMA,68.0,28.0,767.0
183,CCC,M,Wales,A Level or Equivalent,30-40%,0-35,1,90,N,Fail,67.0,0.0,79.0,TMA,68.0,28.0,5830.0
184,DDD,M,South West Region,A Level or Equivalent,30-40%,0-35,1,120,N,Fail,206.0,0.0,48.0,TMA,207.0,20.0,841.0
185,EEE,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,30,N,Fail,108.0,0.0,89.0,TMA,109.0,22.0,1922.0
186,DDD,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,193.0,0.0,66.0,TMA,195.0,25.0,423.0
187,DDD,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,88.0,0.0,82.0,TMA,88.0,17.5,421.0
188,CCC,F,London Region,HE Qualification,0-10%,0-35,0,30,N,Pass,108.0,0.0,74.0,TMA,109.0,22.0,2887.0
189,FFF,M,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,174.0,0.0,79.0,CMA,236.0,0.0,3485.0
190,FFF,M,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,90,N,Pass,121.0,0.0,96.0,CMA,227.0,0.0,1226.0
191,FFF,M,Wales,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,199.0,0.0,23.0,TMA,199.0,25.0,1343.0
192,CCC,M,Scotland,HE Qualification,60-70%,0-35,0,60,N,Pass,69.0,0.0,71.0,CMA,67.0,7.0,2521.0
193,CCC,M,South Region,HE Qualification,20-30%,35-55,0,60,N,Pass,147.0,0.0,59.0,CMA,144.0,8.0,2377.0
194,EEE,M,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,20.0,0.0,60.0,CMA,18.0,2.0,5264.0
195,FFF,M,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,51.0,0.0,82.0,TMA,52.0,12.5,4393.0
196,FFF,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,1,150,N,Pass,174.0,0.0,98.0,CMA,222.0,0.0,7555.0
