n_student,code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,date_submitted,is_banked,score,assessment_type,date,weight,sum_click
112,FFF,M,West Midlands Region,Post Graduate Qualification,20-30%,55<=,1,90,Y,170,0.0,68.0,CMA,157,0.0,9663
113,GGG,F,Ireland,Lower Than A Level,70-80%,35-55,0,60,Y,215,0.0,76.0,CMA,111,12.5,2311
114,GGG,F,Ireland,A Level or Equivalent,20-30%,35-55,2,60,Y,169,0.0,34.0,Exam,246,0.0,7225
115,GGG,M,East Midlands Region,No Formal quals,60-70%,55<=,2,60,N,251,0.0,82.0,CMA,121,25.0,9713
116,DDD,F,North Region,Post Graduate Qualification,70-80%,55<=,1,30,N,54,0.0,60.0,CMA,206,25.0,604
117,FFF,F,East Anglian Region,A Level or Equivalent,50-60%,55<=,0,60,N,90,0.0,71.0,CMA,109,25.0,8175
118,DDD,M,North Western Region,Post Graduate Qualification,40-50%,55<=,3,30,Y,100,0.0,83.0,Exam,55,12.5,5785
119,AAA,F,South Region,HE Qualification,80-90%,0-35,0,30,N,154,0.0,44.0,TMA,56,12.5,9609
120,DDD,M,West Midlands Region,Lower Than A Level,60-70%,55<=,2,120,Y,140,0.0,54.0,CMA,113,0.0,4597
121,FFF,M,South West Region,HE Qualification,0-10%,35-55,2,60,N,172,0.0,61.0,Exam,197,28.0,7759
122,FFF,F,South Region,A Level or Equivalent,60-70%,35-55,0,60,Y,9,0.0,53.0,Exam,178,0.0,7532
123,AAA,F,North Region,No Formal quals,60-70%,0-35,0,90,Y,227,0.0,91.0,Exam,218,25.0,8740
124,FFF,F,South Region,Post Graduate Qualification,70-80%,35-55,3,120,Y,264,0.0,52.0,TMA,15,0.0,838
125,FFF,F,Wales,Lower Than A Level,30-40%,35-55,3,90,N,247,0.0,57.0,CMA,60,28.0,3815
126,GGG,M,North Western Region,Post Graduate Qualification,10-20,55<=,0,120,Y,246,0.0,68.0,Exam,53,12.5,847
127,AAA,F,South West Region,A Level or Equivalent,30-40%,35-55,0,60,Y,154,0.0,47.0,TMA,167,0.0,4709
128,CCC,M,North Region,Post Graduate Qualification,50-60%,0-35,0,30,Y,33,0.0,59.0,Exam,25,25.0,4507
129,CCC,F,East Midlands Region,Lower Than A Level,0-10%,55<=,0,30,Y,128,0.0,70.0,Exam,64,25.0,6575
130,FFF,F,West Midlands Region,A Level or Equivalent,40-50%,55<=,1,30,Y,159,0.0,60.0,Exam,99,12.5,4773
131,CCC,F,South East Region,Post Graduate Qualification,90-100%,0-35,0,30,Y,88,0.0,64.0,Exam,73,0.0,4468
132,CCC,M,Yorkshire Region,No Formal quals,50-60%,55<=,3,30,N,92,0.0,57.0,Exam,191,28.0,5192
133,FFF,F,North Region,A Level or Equivalent,90-100%,55<=,2,90,N,240,1.0,42.0,TMA,170,12.5,3320
134,CCC,F,Scotland,A Level or Equivalent,90-100%,0-35,1,120,Y,116,0.0,70.0,CMA,186,0.0,4698
135,DDD,F,North Western Region,No Formal quals,40-50%,55<=,0,60,N,93,0.0,91.0,CMA,22,50.0,4311
136,EEE,F,West Midlands Region,HE Qualification,20-30%,0-35,2,90,N,162,0.0,65.0,CMA,180,25.0,3673
137,AAA,M,East Anglian Region,Lower Than A Level,30-40%,0-35,1,120,Y,98,0.0,68.0,CMA,107,28.0,1564
138,EEE,F,North Region,HE Qualification,60-70%,35-55,2,30,Y,112,0.0,75.0,TMA,161,28.0,1840
139,FFF,M,Wales,Post Graduate Qualification,80-90%,35-55,0,120,Y,90,0.0,46.0,TMA,205,28.0,6058
140,GGG,M,Yorkshire Region,No Formal quals,90-100%,55<=,0,120,N,205,0.0,91.0,TMA,77,25.0,7131
141,AAA,M,Wales,HE Qualification,0-10%,55<=,3,30,Y,16,0.0,68.0,Exam,15,0.0,726
142,FFF,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,30,N,172,0.0,89.0,Exam,95,12.5,9436
143,GGG,M,East Anglian Region,Post Graduate Qualification,20-30%,55<=,0,30,Y,115,0.0,54.0,Exam,146,0.0,6697
144,EEE,M,South East Region,Post Graduate Qualification,90-100%,0-35,1,60,N,180,0.0,92.0,CMA,1,12.5,9257
145,FFF,F,North Western Region,HE Qualification,20-30%,0-35,3,30,Y,90,0.0,77.0,Exam,9,28.0,282
146,AAA,M,Scotland,HE Qualification,20-30%,55<=,1,60,Y,81,0.0,73.0,CMA,124,0.0,1081
147,AAA,M,West Midlands Region,No Formal quals,90-100%,0-35,2,30,N,113,0.0,69.0,Exam,80,28.0,3885
148,BBB,M,East Midlands Region,Lower Than A Level,70-80%,35-55,0,60,N,256,0.0,61.0,CMA,139,50.0,2881
149,DDD,F,Wales,HE Qualification,10-20,55<=,2,120,N,57,1.0,83.0,Exam,149,28.0,2970
150,CCC,F,Wales,HE Qualification,0-10%,35-55,1,90,N,153,0.0,67.0,Exam,128,28.0,9344
151,GGG,M,Ireland,A Level or Equivalent,60-70%,55<=,0,120,N,115,0.0,35.0,TMA,238,12.5,6985
152,BBB,F,Yorkshire Region,Post Graduate Qualification,60-70%,0-35,0,120,N,265,0.0,48.0,Exam,57,50.0,947
153,CCC,M,London Region,Lower Than A Level,0-10%,55<=,1,30,Y,202,0.0,62.0,Exam,197,28.0,4760
154,CCC,M,South East Region,A Level or Equivalent,70-80%,35-55,1,60,N,40,0.0,70.0,TMA,210,28.0,9909
155,FFF,F,West Midlands Region,No Formal quals,60-70%,0-35,1,90,Y,104,0.0,64.0,CMA,44,50.0,66
156,CCC,M,Yorkshire Region,No Formal quals,20-30%,55<=,1,30,Y,192,0.0,83.0,TMA,96,50.0,8828
157,DDD,F,Ireland,HE Qualification,40-50%,55<=,1,30,N,236,0.0,36.0,TMA,22,0.0,8505
158,AAA,F,South Region,HE Qualification,50-60%,55<=,0,30,Y,220,0.0,67.0,CMA,43,12.5,564
159,BBB,M,Yorkshire Region,No Formal quals,30-40%,35-55,1,120,N,67,0.0,38.0,Exam,26,50.0,9793
160,CCC,M,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,196,0.0,76.0,CMA,96,50.0,9017
161,FFF,F,West Midlands Region,Lower Than A Level,0-10%,55<=,0,60,Y,255,1.0,64.0,Exam,35,25.0,3670
162,DDD,M,South East Region,HE Qualification,40-50%,0-35,1,90,Y,138,0.0,71.0,Exam,108,50.0,9217
163,EEE,M,Ireland,Post Graduate Qualification,90-100%,0-35,1,60,N,148,0.0,52.0,CMA,54,12.5,2251
164,AAA,M,South Region,HE Qualification,10-20,35-55,3,60,N,98,0.0,84.0,TMA,191,28.0,804
165,AAA,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,30,Y,75,0.0,81.0,CMA,218,28.0,4631
166,BBB,F,South West Region,Lower Than A Level,20-30%,35-55,1,30,Y,108,0.0,74.0,Exam,184,28.0,9583
167,AAA,M,Ireland,A Level or Equivalent,10-20,55<=,1,120,Y,187,0.0,63.0,CMA,68,28.0,1235
168,CCC,F,South West Region,A Level or Equivalent,50-60%,35-55,1,30,Y,198,0.0,74.0,CMA,129,25.0,6720
169,FFF,F,West Midlands Region,Post Graduate Qualification,50-60%,35-55,3,30,N,153,0.0,54.0,Exam,54,50.0,6906
170,AAA,F,Wales,Lower Than A Level,70-80%,55<=,3,30,N,39,0.0,78.0,TMA,96,28.0,6016
171,AAA,F,Ireland,Lower Than A Level,80-90%,0-35,2,30,N,132,0.0,90.0,CMA,86,0.0,3549
172,EEE,F,North Western Region,Lower Than A Level,70-80%,35-55,0,120,N,131,0.0,81.0,Exam,118,28.0,7938
173,EEE,M,Scotland,Lower Than A Level,40-50%,35-55,2,30,Y,83,0.0,54.0,Exam,207,50.0,4141
174,GGG,M,South West Region,Lower Than A Level,10-20,55<=,1,90,Y,241,0.0,70.0,CMA,153,28.0,6966
175,DDD,M,East Midlands Region,Post Graduate Qualification,80-90%,0-35,3,90,N,115,0.0,46.0,TMA,34,25.0,9546
176,CCC,F,Scotland,HE Qualification,90-100%,35-55,3,90,N,108,0.0,74.0,CMA,78,12.5,5335
177,AAA,F,North Region,A Level or Equivalent,20-30%,55<=,2,90,N,220,0.0,72.0,TMA,66,12.5,5077
178,AAA,M,North Region,Lower Than A Level,10-20,35-55,3,30,N,40,0.0,37.0,TMA,33,50.0,5611
179,FFF,F,South Region,HE Qualification,70-80%,55<=,1,90,N,146,0.0,48.0,TMA,96,12.5,8089
180,GGG,M,South East Region,HE Qualification,30-40%,0-35,3,30,N,111,0.0,61.0,TMA,168,12.5,2892
181,DDD,M,Wales,A Level or Equivalent,80-90%,0-35,2,120,N,102,0.0,60.0,CMA,168,0.0,5577
182,GGG,M,West Midlands Region,Post Graduate Qualification,80-90%,0-35,1,90,N,45,0.0,47.0,Exam,150,50.0,3618
183,BBB,F,Ireland,No Formal quals,20-30%,0-35,2,60,N,194,0.0,71.0,Exam,70,50.0,1559
184,DDD,F,London Region,No Formal quals,60-70%,35-55,3,90,Y,39,0.0,69.0,Exam,2,12.5,6683
185,AAA,M,East Midlands Region,HE Qualification,50-60%,35-55,2,90,N,188,0.0,62.0,Exam,31,12.5,1507
186,AAA,M,South West Region,A Level or Equivalent,50-60%,0-35,2,30,Y,163,0.0,54.0,Exam,81,12.5,2063
187,DDD,M,West Midlands Region,No Formal quals,30-40%,0-35,0,90,Y,23,0.0,81.0,Exam,42,25.0,3642
188,AAA,M,Scotland,HE Qualification,40-50%,0-35,3,60,N,23,0.0,90.0,CMA,104,28.0,2000
189,CCC,F,East Anglian Region,Post Graduate Qualification,40-50%,35-55,3,30,N,3,0.0,58.0,TMA,0,25.0,1294
190,DDD,F,North Region,No Formal quals,90-100%,0-35,2,30,Y,180,0.0,56.0,Exam,60,50.0,4065
191,GGG,M,East Anglian Region,HE Qualification,10-20,0-35,0,120,Y,247,1.0,72.0,CMA,269,0.0,8014
192,DDD,M,North Western Region,HE Qualification,0-10%,0-35,3,120,N,115,1.0,60.0,Exam,179,28.0,9945
193,AAA,F,East Midlands Region,Lower Than A Level,60-70%,55<=,1,90,Y,68,0.0,63.0,Exam,223,0.0,1603
194,CCC,F,London Region,Post Graduate Qualification,70-80%,0-35,2,120,N,253,0.0,76.0,TMA,5,50.0,1322
195,CCC,M,Ireland,Lower Than A Level,0-10%,55<=,3,120,N,180,0.0,36.0,TMA,102,50.0,5956
196,BBB,M,South Region,A Level or Equivalent,0-10%,55<=,1,120,N,168,0.0,85.0,TMA,9,0.0,2441
197,GGG,M,London Region,Lower Than A Level,80-90%,0-35,3,30,Y,248,0.0,66.0,Exam,70,0.0,1098
198,EEE,F,East Midlands Region,Lower Than A Level,30-40%,55<=,1,30,Y,187,0.0,59.0,Exam,89,0.0,5073
199,EEE,F,London Region,No Formal quals,50-60%,0-35,2,30,N,53,1.0,64.0,Exam,225,50.0,9697
200,DDD,F,East Midlands Region,HE Qualification,90-100%,35-55,3,120,Y,137,0.0,64.0,TMA,157,12.5,9318
201,BBB,M,East Midlands Region,Post Graduate Qualification,40-50%,35-55,3,30,Y,167,0.0,39.0,CMA,227,0.0,8488
202,FFF,M,Yorkshire Region,Lower Than A Level,30-40%,35-55,0,120,Y,102,0.0,87.0,Exam,125,28.0,3787
203,DDD,F,South West Region,Post Graduate Qualification,80-90%,35-55,2,30,Y,84,0.0,66.0,Exam,208,50.0,2096
204,BBB,F,East Anglian Region,Lower Than A Level,70-80%,55<=,1,30,Y,211,1.0,72.0,Exam,96,25.0,2208
205,GGG,M,North Region,A Level or Equivalent,90-100%,0-35,3,60,Y,2,0.0,79.0,CMA,73,25.0,5988
206,GGG,F,Yorkshire Region,Lower Than A Level,80-90%,0-35,3,90,Y,178,0.0,50.0,Exam,114,28.0,175
207,GGG,F,Ireland,No Formal quals,50-60%,0-35,1,120,N,37,0.0,72.0,CMA,190,12.5,7169
208,GGG,M,Yorkshire Region,HE Qualification,50-60%,35-55,2,60,Y,238,0.0,61.0,Exam,169,0.0,6014
209,GGG,F,Wales,A Level or Equivalent,50-60%,35-55,0,30,Y,168,0.0,78.0,CMA,203,50.0,1667
210,BBB,M,Wales,Lower Than A Level,30-40%,0-35,0,120,Y,29,0.0,33.0,Exam,55,0.0,8867
211,BBB,M,North Region,Post Graduate Qualification,30-40%,35-55,3,30,Y,189,0.0,64.0,TMA,207,50.0,1823
212,CCC,M,London Region,A Level or Equivalent,40-50%,0-35,1,90,Y,24,0.0,56.0,TMA,40,25.0,5147
213,EEE,M,South West Region,A Level or Equivalent,40-50%,0-35,3,60,Y,111,0.0,71.0,TMA,31,0.0,1356
214,AAA,M,North Region,Lower Than A Level,70-80%,0-35,1,90,Y,205,0.0,72.0,TMA,14,28.0,3072
215,GGG,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,Y,184,0.0,54.0,Exam,61,12.5,3259
216,FFF,M,Scotland,Post Graduate Qualification,20-30%,0-35,2,30,N,46,0.0,54.0,TMA,154,28.0,6199
217,AAA,F,South West Region,A Level or Equivalent,20-30%,0-35,1,90,Y,227,0.0,63.0,CMA,208,12.5,546
218,BBB,M,South East Region,Post Graduate Qualification,80-90%,0-35,0,90,Y,38,0.0,52.0,TMA,186,0.0,5231
219,FFF,M,East Anglian Region,Lower Than A Level,50-60%,35-55,3,30,Y,15,0.0,78.0,TMA,129,0.0,7965
220,FFF,F,South West Region,HE Qualification,90-100%,0-35,1,90,Y,21,0.0,59.0,TMA,126,12.5,2083
221,FFF,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,2,120,N,212,0.0,21.0,Exam,113,25.0,2040
222,CCC,F,East Midlands Region,HE Qualification,30-40%,35-55,3,60,N,148,0.0,59.0,TMA,198,50.0,4534
223,BBB,M,South Region,Post Graduate Qualification,10-20,35-55,3,60,N,240,0.0,49.0,CMA,12,28.0,1752
224,FFF,F,North Region,A Level or Equivalent,60-70%,35-55,0,60,N,58,0.0,41.0,TMA,88,28.0,9807
225,GGG,M,East Midlands Region,No Formal quals,70-80%,0-35,1,120,N,201,0.0,46.0,TMA,214,28.0,1849
226,DDD,M,Wales,HE Qualification,50-60%,55<=,3,60,N,31,0.0,67.0,TMA,202,0.0,2642
