code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_submitted,is_banked,score,assessment_type,date,weight,sum_click
AAA,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,75.0,0.0,30.0,TMA,54.0,20.0,1034.0
AAA,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,124.0,0.0,63.0,TMA,117.0,20.0,1034.0
AAA,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,181.0,0.0,35.0,TMA,166.0,20.0,1034.0
AAA,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,222.0,0.0,75.0,TMA,215.0,30.0,1034.0
AAA,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,19.0,0.0,79.0,TMA,19.0,10.0,2445.0
AAA,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,64.0,0.0,69.0,TMA,54.0,20.0,2445.0
AAA,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,117.0,0.0,74.0,TMA,117.0,20.0,2445.0
AAA,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,166.0,0.0,50.0,TMA,166.0,20.0,2445.0
AAA,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,215.0,0.0,68.0,TMA,215.0,30.0,2445.0
AAA,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,20.0,0.0,70.0,TMA,19.0,10.0,1492.0
AAA,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,54.0,0.0,65.0,TMA,54.0,20.0,1492.0
AAA,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,117.0,0.0,62.0,TMA,117.0,20.0,1492.0
AAA,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,166.0,0.0,75.0,TMA,166.0,20.0,1492.0
AAA,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,216.0,0.0,68.0,TMA,215.0,30.0,1492.0
AAA,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,18.0,0.0,72.0,TMA,19.0,10.0,1428.0
AAA,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,57.0,0.0,72.0,TMA,54.0,20.0,1428.0
AAA,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,116.0,0.0,72.0,TMA,117.0,20.0,1428.0
AAA,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,166.0,0.0,73.0,TMA,166.0,20.0,1428.0
AAA,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,227.0,0.0,73.0,TMA,215.0,30.0,1428.0
AAA,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,19.0,0.0,72.0,TMA,19.0,10.0,1894.0
AAA,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,54.0,0.0,68.0,TMA,54.0,20.0,1894.0
AAA,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,117.0,0.0,75.0,TMA,117.0,20.0,1894.0
AAA,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,173.0,0.0,72.0,TMA,166.0,20.0,1894.0
AAA,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,215.0,0.0,70.0,TMA,215.0,30.0,1894.0
AAA,M,North Region,Post Graduate Qualification,30-40%,55<=,0,60,N,Pass,9.0,0.0,71.0,TMA,19.0,10.0,3158.0
AAA,M,North Region,Post Graduate Qualification,30-40%,55<=,0,60,N,Pass,52.0,0.0,80.0,TMA,54.0,20.0,3158.0
AAA,M,North Region,Post Graduate Qualification,30-40%,55<=,0,60,N,Pass,114.0,0.0,78.0,TMA,117.0,20.0,3158.0
AAA,M,North Region,Post Graduate Qualification,30-40%,55<=,0,60,N,Pass,161.0,0.0,80.0,TMA,166.0,20.0,3158.0
AAA,M,North Region,Post Graduate Qualification,30-40%,55<=,0,60,N,Pass,212.0,0.0,81.0,TMA,215.0,30.0,3158.0
AAA,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,18.0,0.0,68.0,TMA,19.0,10.0,1319.0
AAA,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,53.0,0.0,76.0,TMA,54.0,20.0,1319.0
AAA,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,116.0,0.0,78.0,TMA,117.0,20.0,1319.0
AAA,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,166.0,0.0,80.0,TMA,166.0,20.0,1319.0
AAA,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,214.0,0.0,68.0,TMA,215.0,30.0,1319.0
AAA,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,19.0,0.0,73.0,TMA,19.0,10.0,1732.0
AAA,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,54.0,0.0,74.0,TMA,54.0,20.0,1732.0
AAA,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,119.0,0.0,68.0,TMA,117.0,20.0,1732.0
AAA,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,166.0,0.0,73.0,TMA,166.0,20.0,1732.0
AAA,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,215.0,0.0,78.0,TMA,215.0,30.0,1732.0
AAA,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,18.0,0.0,67.0,TMA,19.0,10.0,1102.0
AAA,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,53.0,0.0,71.0,TMA,54.0,20.0,1102.0
AAA,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,117.0,0.0,78.0,TMA,117.0,20.0,1102.0
AAA,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,166.0,0.0,88.0,TMA,166.0,20.0,1102.0
AAA,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,215.0,0.0,89.0,TMA,215.0,30.0,1102.0
AAA,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,17.0,0.0,73.0,TMA,19.0,10.0,3388.0
AAA,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,50.0,0.0,85.0,TMA,54.0,20.0,3388.0
AAA,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,114.0,0.0,75.0,TMA,117.0,20.0,3388.0
AAA,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,164.0,0.0,70.0,TMA,166.0,20.0,3388.0
AAA,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,213.0,0.0,77.0,TMA,215.0,30.0,3388.0
AAA,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,19.0,0.0,83.0,TMA,19.0,10.0,2737.0
AAA,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,54.0,0.0,42.0,TMA,54.0,20.0,2737.0
AAA,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,117.0,0.0,78.0,TMA,117.0,20.0,2737.0
AAA,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,166.0,0.0,76.0,TMA,166.0,20.0,2737.0
AAA,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,215.0,0.0,79.0,TMA,215.0,30.0,2737.0
AAA,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,19.0,0.0,59.0,TMA,19.0,10.0,1053.0
AAA,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,52.0,0.0,60.0,TMA,54.0,20.0,1053.0
AAA,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,115.0,0.0,60.0,TMA,117.0,20.0,1053.0
AAA,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,164.0,0.0,61.0,TMA,166.0,20.0,1053.0
AAA,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,198.0,0.0,38.0,TMA,215.0,30.0,1053.0
AAA,M,Ireland,HE Qualification,30-40%,35-55,0,60,N,Pass,19.0,0.0,82.0,TMA,19.0,10.0,2327.0
AAA,M,Ireland,HE Qualification,30-40%,35-55,0,60,N,Pass,53.0,0.0,86.0,TMA,54.0,20.0,2327.0
AAA,M,Ireland,HE Qualification,30-40%,35-55,0,60,N,Pass,117.0,0.0,82.0,TMA,117.0,20.0,2327.0
AAA,M,Ireland,HE Qualification,30-40%,35-55,0,60,N,Pass,165.0,0.0,77.0,TMA,166.0,20.0,2327.0
AAA,M,Ireland,HE Qualification,30-40%,35-55,0,60,N,Pass,215.0,0.0,75.0,TMA,215.0,30.0,2327.0
AAA,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,22.0,0.0,60.0,TMA,19.0,10.0,116.0
AAA,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,54.0,0.0,18.0,TMA,54.0,20.0,116.0
AAA,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,120.0,0.0,67.0,TMA,117.0,20.0,116.0
AAA,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,166.0,0.0,49.0,TMA,166.0,20.0,116.0
AAA,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,18.0,0.0,67.0,TMA,19.0,10.0,2992.0
AAA,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,52.0,0.0,66.0,TMA,54.0,20.0,2992.0
AAA,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,116.0,0.0,67.0,TMA,117.0,20.0,2992.0
AAA,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,170.0,0.0,65.0,TMA,166.0,20.0,2992.0
AAA,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,212.0,0.0,65.0,TMA,215.0,30.0,2992.0
AAA,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,18.0,0.0,73.0,TMA,19.0,10.0,680.0
AAA,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,54.0,0.0,76.0,TMA,54.0,20.0,680.0
AAA,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,115.0,0.0,72.0,TMA,117.0,20.0,680.0
AAA,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,173.0,0.0,67.0,TMA,166.0,20.0,680.0
AAA,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,215.0,0.0,64.0,TMA,215.0,30.0,680.0
AAA,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,21.0,0.0,75.0,TMA,19.0,10.0,1494.0
AAA,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,64.0,0.0,74.0,TMA,54.0,20.0,1494.0
AAA,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,122.0,0.0,75.0,TMA,117.0,20.0,1494.0
AAA,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,170.0,0.0,73.0,TMA,166.0,20.0,1494.0
AAA,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,220.0,0.0,57.0,TMA,215.0,30.0,1494.0
AAA,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,18.0,0.0,62.0,TMA,19.0,10.0,2839.0
AAA,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,49.0,0.0,59.0,TMA,54.0,20.0,2839.0
AAA,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,106.0,0.0,59.0,TMA,117.0,20.0,2839.0
AAA,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,157.0,0.0,61.0,TMA,166.0,20.0,2839.0
AAA,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,202.0,0.0,62.0,TMA,215.0,30.0,2839.0
AAA,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,17.0,0.0,63.0,TMA,19.0,10.0,744.0
AAA,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,50.0,0.0,68.0,TMA,54.0,20.0,744.0
AAA,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,116.0,0.0,71.0,TMA,117.0,20.0,744.0
AAA,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,171.0,0.0,74.0,TMA,166.0,20.0,744.0
AAA,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,218.0,0.0,66.0,TMA,215.0,30.0,744.0
AAA,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,16.0,0.0,84.0,TMA,19.0,10.0,4104.0
AAA,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,52.0,0.0,64.0,TMA,54.0,20.0,4104.0
AAA,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,116.0,0.0,75.0,TMA,117.0,20.0,4104.0
AAA,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,165.0,0.0,66.0,TMA,166.0,20.0,4104.0
AAA,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,213.0,0.0,74.0,TMA,215.0,30.0,4104.0
AAA,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,19.0,0.0,80.0,TMA,19.0,10.0,1944.0
AAA,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,54.0,0.0,86.0,TMA,54.0,20.0,1944.0
AAA,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,117.0,0.0,86.0,TMA,117.0,20.0,1944.0
AAA,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,166.0,0.0,78.0,TMA,166.0,20.0,1944.0
AAA,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,215.0,0.0,60.0,TMA,215.0,30.0,1944.0
AAA,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,19.0,0.0,76.0,TMA,19.0,10.0,1150.0
AAA,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,52.0,0.0,70.0,TMA,54.0,20.0,1150.0
AAA,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,117.0,0.0,83.0,TMA,117.0,20.0,1150.0
AAA,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,166.0,0.0,73.0,TMA,166.0,20.0,1150.0
AAA,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,215.0,0.0,81.0,TMA,215.0,30.0,1150.0
AAA,M,Ireland,Post Graduate Qualification,30-40%,35-55,0,60,N,Pass,30.0,0.0,85.0,TMA,19.0,10.0,4777.0
AAA,M,Ireland,Post Graduate Qualification,30-40%,35-55,0,60,N,Pass,62.0,0.0,78.0,TMA,54.0,20.0,4777.0
AAA,M,Ireland,Post Graduate Qualification,30-40%,35-55,0,60,N,Pass,117.0,0.0,80.0,TMA,117.0,20.0,4777.0
AAA,M,Ireland,Post Graduate Qualification,30-40%,35-55,0,60,N,Pass,166.0,0.0,77.0,TMA,166.0,20.0,4777.0
AAA,M,Ireland,Post Graduate Qualification,30-40%,35-55,0,60,N,Pass,215.0,0.0,78.0,TMA,215.0,30.0,4777.0
AAA,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,18.0,0.0,57.0,TMA,19.0,10.0,733.0
AAA,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,54.0,0.0,51.0,TMA,54.0,20.0,733.0
AAA,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,117.0,0.0,56.0,TMA,117.0,20.0,733.0
AAA,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,173.0,0.0,38.0,TMA,166.0,20.0,733.0
AAA,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,215.0,0.0,65.0,TMA,215.0,30.0,733.0
AAA,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,18.0,0.0,66.0,TMA,19.0,10.0,998.0
AAA,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,55.0,0.0,61.0,TMA,54.0,20.0,998.0
AAA,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,116.0,0.0,68.0,TMA,117.0,20.0,998.0
AAA,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,165.0,0.0,53.0,TMA,166.0,20.0,998.0
AAA,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,215.0,0.0,69.0,TMA,215.0,30.0,998.0
AAA,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,10.0,0.0,80.0,TMA,19.0,10.0,2343.0
AAA,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,117.0,0.0,80.0,TMA,117.0,20.0,2343.0
AAA,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,215.0,0.0,83.0,TMA,215.0,30.0,2343.0
AAA,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,19.0,0.0,81.0,TMA,19.0,10.0,3553.0
AAA,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,61.0,0.0,77.0,TMA,54.0,20.0,3553.0
AAA,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,113.0,0.0,77.0,TMA,117.0,20.0,3553.0
AAA,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,173.0,0.0,75.0,TMA,166.0,20.0,3553.0
AAA,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,222.0,0.0,78.0,TMA,215.0,30.0,3553.0
AAA,F,North Region,Post Graduate Qualification,30-40%,35-55,0,60,N,Pass,18.0,0.0,66.0,TMA,19.0,10.0,757.0
AAA,F,North Region,Post Graduate Qualification,30-40%,35-55,0,60,N,Pass,53.0,0.0,76.0,TMA,54.0,20.0,757.0
AAA,F,North Region,Post Graduate Qualification,30-40%,35-55,0,60,N,Pass,116.0,0.0,74.0,TMA,117.0,20.0,757.0
AAA,F,North Region,Post Graduate Qualification,30-40%,35-55,0,60,N,Pass,165.0,0.0,72.0,TMA,166.0,20.0,757.0
AAA,F,North Region,Post Graduate Qualification,30-40%,35-55,0,60,N,Pass,214.0,0.0,71.0,TMA,215.0,30.0,757.0
AAA,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,18.0,0.0,74.0,TMA,19.0,10.0,1358.0
AAA,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,52.0,0.0,79.0,TMA,54.0,20.0,1358.0
AAA,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,123.0,0.0,77.0,TMA,117.0,20.0,1358.0
AAA,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,171.0,0.0,80.0,TMA,166.0,20.0,1358.0
AAA,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,214.0,0.0,54.0,TMA,215.0,30.0,1358.0
AAA,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,19.0,0.0,76.0,TMA,19.0,10.0,1886.0
AAA,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,75.0,0.0,66.0,TMA,54.0,20.0,1886.0
AAA,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,131.0,0.0,60.0,TMA,117.0,20.0,1886.0
AAA,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,173.0,0.0,60.0,TMA,166.0,20.0,1886.0
AAA,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,220.0,0.0,50.0,TMA,215.0,30.0,1886.0
AAA,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,16.0,0.0,72.0,TMA,19.0,10.0,1108.0
AAA,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,47.0,0.0,77.0,TMA,54.0,20.0,1108.0
AAA,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,114.0,0.0,72.0,TMA,117.0,20.0,1108.0
AAA,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,163.0,0.0,78.0,TMA,166.0,20.0,1108.0
AAA,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,208.0,0.0,72.0,TMA,215.0,30.0,1108.0
AAA,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,19.0,0.0,73.0,TMA,19.0,10.0,284.0
AAA,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,54.0,0.0,63.0,TMA,54.0,20.0,284.0
AAA,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,117.0,0.0,65.0,TMA,117.0,20.0,284.0
AAA,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,166.0,0.0,63.0,TMA,166.0,20.0,284.0
AAA,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,215.0,0.0,45.0,TMA,215.0,30.0,284.0
AAA,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,25.0,0.0,75.0,TMA,19.0,10.0,2041.0
AAA,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,54.0,0.0,72.0,TMA,54.0,20.0,2041.0
AAA,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,117.0,0.0,72.0,TMA,117.0,20.0,2041.0
AAA,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,166.0,0.0,70.0,TMA,166.0,20.0,2041.0
AAA,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,215.0,0.0,68.0,TMA,215.0,30.0,2041.0
AAA,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,26.0,0.0,69.0,TMA,19.0,10.0,1321.0
AAA,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,61.0,0.0,66.0,TMA,54.0,20.0,1321.0
AAA,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,117.0,0.0,71.0,TMA,117.0,20.0,1321.0
AAA,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,173.0,0.0,75.0,TMA,166.0,20.0,1321.0
AAA,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,215.0,0.0,67.0,TMA,215.0,30.0,1321.0
AAA,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,18.0,0.0,63.0,TMA,19.0,10.0,520.0
AAA,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,53.0,0.0,65.0,TMA,54.0,20.0,520.0
AAA,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,116.0,0.0,75.0,TMA,117.0,20.0,520.0
AAA,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,165.0,0.0,72.0,TMA,166.0,20.0,520.0
AAA,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,215.0,0.0,62.0,TMA,215.0,30.0,520.0
AAA,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,18.0,0.0,87.0,TMA,19.0,10.0,2732.0
AAA,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,53.0,0.0,83.0,TMA,54.0,20.0,2732.0
AAA,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,116.0,0.0,85.0,TMA,117.0,20.0,2732.0
AAA,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,165.0,0.0,86.0,TMA,166.0,20.0,2732.0
AAA,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,215.0,0.0,81.0,TMA,215.0,30.0,2732.0
AAA,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,15.0,0.0,72.0,TMA,19.0,10.0,5528.0
AAA,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,54.0,0.0,81.0,TMA,54.0,20.0,5528.0
AAA,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,117.0,0.0,83.0,TMA,117.0,20.0,5528.0
AAA,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,161.0,0.0,78.0,TMA,166.0,20.0,5528.0
AAA,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,215.0,0.0,87.0,TMA,215.0,30.0,5528.0
AAA,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,19.0,0.0,77.0,TMA,19.0,10.0,1823.0
AAA,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,54.0,0.0,74.0,TMA,54.0,20.0,1823.0
AAA,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,117.0,0.0,70.0,TMA,117.0,20.0,1823.0
